ID	Description	pvalue	qvalue	Phenotype	geneID
hsa05161	Hepatitis B	0.00227298556300599	0.0314508888518676	-1	23586,8900
hsa05169	Epstein-Barr virus infection	0.00351509934226755	0.0314508888518676	-1	23586,8900
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.011672317338947	0.0623402511873751	-1	9956
hsa05219	Bladder cancer	0.0198781684037662	0.0623402511873751	-1	4313
hsa04623	Cytosolic DNA-sensing pathway	0.0304215262469707	0.0623402511873751	-1	23586
hsa05221	Acute myeloid leukemia	0.0323293232311219	0.0623402511873751	-1	8900
hsa04622	RIG-I-like receptor signaling pathway	0.0337583222910993	0.0623402511873751	-1	23586
hsa04912	GnRH signaling pathway	0.0446614679691647	0.0623402511873751	-1	4313
hsa01522	Endocrine resistance	0.0470194541347555	0.0623402511873751	-1	4313
hsa04933	AGE-RAGE signaling pathway in diabetic complications	0.0479614253376045	0.0623402511873751	-1	4313
hsa04914	Progesterone-mediated oocyte maturation	0.0489026980510509	0.0623402511873751	-1	8900
hsa04064	NF-kappa B signaling pathway	0.0498432726204753	0.0623402511873751	-1	23586
hsa04130	SNARE interactions in vesicular transport	0.0160229829367493	0.0673292788474972	1	6810
hsa04962	Vasopressin-regulated water reabsorption	0.0213209383017074	0.0673292788474972	1	6810
hsa04061	Viral protein interaction with cytokine and cytokine receptor	0.0479614253376045	0.0716267676168657	1	6366
hsa04064	NF-kappa B signaling pathway	0.0498432726204753	0.0716267676168657	1	6366
