"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000273388.1","HAVANA","gene",NA,NA,"ENSG00000273388.1","lncRNA","AC005291.2","2",NA,"OTTHUMG00000185938.1",-5.43664783389456,-0.940408911773049,-8.30345053275845,8.21838266041054e-16,1.48966404102602e-11,23.8186595667239
"ENSG00000112936.19","HAVANA","gene",NA,NA,"ENSG00000112936.19","protein_coding","C7","1","HGNC:1346","OTTHUMG00000150340.4",5.55932296104869,1.99566097742202,7.30388599612132,1.01258366406631e-12,9.17704574743297e-09,18.3812425111758
"ENSG00000255399.4","HAVANA","gene",NA,NA,"ENSG00000255399.4","lncRNA","TBX5-AS1","1","HGNC:27402","OTTHUMG00000166190.3",-3.9075919425546,0.894768362942001,-6.85751640757173,1.92797022694374e-11,1.16487961111941e-07,14.8047990269573
"ENSG00000145423.5","HAVANA","gene",NA,NA,"ENSG00000145423.5","protein_coding","SFRP2","2","HGNC:10777","OTTHUMG00000161559.3",-6.43061812655988,8.23374064010056,-6.18982022406567,1.19476965423714e-09,4.72522686703261e-06,11.3932040992879
"ENSG00000012124.17","HAVANA","gene",NA,NA,"ENSG00000012124.17","protein_coding","CD22","1","HGNC:1643","OTTHUMG00000183298.5",2.68374908452129,2.51761393228706,6.17510584387891,1.30343894599818e-09,4.72522686703261e-06,11.5391563582018
"ENSG00000180044.5","HAVANA","gene",NA,NA,"ENSG00000180044.5","protein_coding","C3orf80","2","HGNC:40048","OTTHUMG00000158950.3",-2.94983832895569,1.60701290457227,-5.85535502756211,8.28475128963274e-09,2.36047436439383e-05,9.42390921766373
"ENSG00000089225.20","HAVANA","gene",NA,NA,"ENSG00000089225.20","protein_coding","TBX5","1","HGNC:11604","OTTHUMG00000166191.3",-3.31004992573905,1.36116201646168,-5.83843534982655,9.11581184528125e-09,2.36047436439383e-05,9.31861443214824
"ENSG00000261039.3","HAVANA","gene",NA,NA,"ENSG00000261039.3","lncRNA","LINC02544","2","HGNC:53578","OTTHUMG00000175951.4",-4.29903933595693,0.744505997433517,-5.79048835015081,1.19371674849297e-08,2.51635776506611e-05,9.06885465933405
"ENSG00000149968.12","HAVANA","gene",NA,NA,"ENSG00000149968.12","protein_coding","MMP3","2","HGNC:7173","OTTHUMG00000048254.4",-6.69725605210434,2.71732902737259,-5.76362042028406,1.38730786668169e-08,2.51635776506611e-05,8.9376674200743
"ENSG00000105989.10","HAVANA","gene",NA,NA,"ENSG00000105989.10","protein_coding","WNT2","1","HGNC:12780","OTTHUMG00000023428.8",-4.58471172334824,2.97812632928969,-5.76349769537643,1.38825872507233e-08,2.51635776506611e-05,8.956835081628
"ENSG00000232679.2","HAVANA","gene",NA,NA,"ENSG00000232679.2","lncRNA","LINC01705","2","HGNC:52493","OTTHUMG00000037425.3",-4.44902069095926,-1.15948352602973,-5.70604360103494,1.91071742975285e-08,3.12673195472732e-05,8.64962396476058
"ENSG00000167749.11","HAVANA","gene",NA,NA,"ENSG00000167749.11","protein_coding","KLK4","2","HGNC:6365","OTTHUMG00000182964.2",-5.8027650902149,0.375267686959758,-5.69156641457368,2.0699979839307e-08,3.12673195472732e-05,8.57917788071571
"ENSG00000162267.12","HAVANA","gene",NA,NA,"ENSG00000162267.12","protein_coding","ITIH3","2","HGNC:6168","OTTHUMG00000158956.6",2.56458001694249,-0.69368741545193,5.64970003921368,2.60685298526965e-08,3.63475517007674e-05,8.58142194987447
"ENSG00000134443.10","HAVANA","gene",NA,NA,"ENSG00000134443.10","protein_coding","GRP","1","HGNC:4605","OTTHUMG00000132760.5",-6.22791415015372,0.883065127157445,-5.56151108833326,4.21744826152693e-08,5.4603905134598e-05,7.94735152014235
"ENSG00000228203.7","HAVANA","gene",NA,NA,"ENSG00000228203.7","lncRNA","GRASLND","2","HGNC:30963","OTTHUMG00000151701.4",-3.35697618228279,0.396460369372112,-5.4736131112044,6.76951943411778e-08,8.18028728418792e-05,7.52703434186725
