"Gene_Group",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1stExon","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"1stExon","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"1stExon","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
"3'UTR","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"3'UTR","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"3'UTR","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
"5'UTR","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"5'UTR","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"5'UTR","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
"Body","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"Body","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"Body","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
"TSS1500","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"TSS1500","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"TSS1500","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
"TSS200","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"TSS200","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"TSS200","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
"IGR","perc","All","Hyper",1,1,"1","ns","Wilcoxon"
"IGR","perc","All","Hypo",1,1,"1","ns","Wilcoxon"
"IGR","perc","Hyper","Hypo",1,1,"1","ns","Wilcoxon"
