"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05161","hsa05161","Hepatitis B","2/4","162/8190",0.00227298556300599,0.00227298556300599,0.0314508888518676,"23586/8900",2
"hsa05169","hsa05169","Epstein-Barr virus infection","2/4","202/8190",0.00351509934226755,0.00351509934226755,0.0314508888518676,"23586/8900",2
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/4","24/8190",0.011672317338947,0.011672317338947,0.0623402511873751,"9956",1
"hsa05219","hsa05219","Bladder cancer","1/4","41/8190",0.0198781684037662,0.0198781684037662,0.0623402511873751,"4313",1
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","1/4","63/8190",0.0304215262469707,0.0304215262469707,0.0623402511873751,"23586",1
"hsa05221","hsa05221","Acute myeloid leukemia","1/4","67/8190",0.0323293232311219,0.0323293232311219,0.0623402511873751,"8900",1
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/4","70/8190",0.0337583222910993,0.0337583222910993,0.0623402511873751,"23586",1
"hsa04912","hsa04912","GnRH signaling pathway","1/4","93/8190",0.0446614679691647,0.0446614679691647,0.0623402511873751,"4313",1
"hsa01522","hsa01522","Endocrine resistance","1/4","98/8190",0.0470194541347555,0.0470194541347555,0.0623402511873751,"4313",1
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/4","100/8190",0.0479614253376045,0.0479614253376045,0.0623402511873751,"4313",1
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","1/4","102/8190",0.0489026980510509,0.0489026980510509,0.0623402511873751,"8900",1
"hsa04064","hsa04064","NF-kappa B signaling pathway","1/4","104/8190",0.0498432726204753,0.0498432726204753,0.0623402511873751,"23586",1
