"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_ORGANELLE_MEMBRANE_FUSION","GOBP_ORGANELLE_MEMBRANE_FUSION","GOBP_ORGANELLE_MEMBRANE_FUSION","3/23","109/19413",0.000280978107839274,0.000280978107839274,0.0777998291699961,"1201/112476/6810",3
"GOBP_ORGANELLE_FUSION","GOBP_ORGANELLE_FUSION","GOBP_ORGANELLE_FUSION","3/23","143/19413",0.000622131600005449,0.000622131600005449,0.0940587326432534,"1201/112476/6810",3
"GOBP_MEMBRANE_FUSION","GOBP_MEMBRANE_FUSION","GOBP_MEMBRANE_FUSION","3/23","163/19413",0.000909628037560492,0.000909628037560492,0.0940587326432534,"1201/112476/6810",3
"HP_ABNORMAL_THYROID_MORPHOLOGY","HP_ABNORMAL_THYROID_MORPHOLOGY","HP_ABNORMAL_THYROID_MORPHOLOGY","3/23","166/19413",0.000958883529594732,0.000958883529594732,0.0940587326432534,"92949/4313/55213",3
"GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","3/23","197/19413",0.0015692800342195,0.0015692800342195,0.0940587326432534,"1201/112476/6810",3
"HP_ABNORMAL_VERTEBRAL_MORPHOLOGY","HP_ABNORMAL_VERTEBRAL_MORPHOLOGY","HP_ABNORMAL_VERTEBRAL_MORPHOLOGY","4/23","439/19413",0.00162391858741817,0.00162391858741817,0.0940587326432534,"4313/91754/6299/6911",4
"HP_ABNORMALITY_OF_THE_THYROID_GLAND","HP_ABNORMALITY_OF_THE_THYROID_GLAND","HP_ABNORMALITY_OF_THE_THYROID_GLAND","4/23","453/19413",0.00182180839374797,0.00182180839374797,0.0940587326432534,"92949/4313/55213/6299",4
"GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS","GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS","GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS","3/23","214/19413",0.00198782812739137,0.00198782812739137,0.0940587326432534,"1201/112476/6810",3
"GOCC_EXOCYTIC_VESICLE","GOCC_EXOCYTIC_VESICLE","GOCC_EXOCYTIC_VESICLE","3/23","216/19413",0.00204120108117701,0.00204120108117701,0.0940587326432534,"1201/112476/6810",3
"GOBP_ANATOMICAL_STRUCTURE_MATURATION","GOBP_ANATOMICAL_STRUCTURE_MATURATION","GOBP_ANATOMICAL_STRUCTURE_MATURATION","3/23","244/19413",0.00288413912293343,0.00288413912293343,0.0940587326432534,"6366/4313/6911",3
"GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK","3/23","262/19413",0.00352447993022299,0.00352447993022299,0.0940587326432534,"1201/83548/6810",3
"HP_ABNORMALITY_OF_THE_RIBS","HP_ABNORMALITY_OF_THE_RIBS","HP_ABNORMALITY_OF_THE_RIBS","3/23","292/19413",0.00477326867242244,0.00477326867242244,0.0940587326432534,"91754/6299/6911",3
"GOBP_DEVELOPMENTAL_MATURATION","GOBP_DEVELOPMENTAL_MATURATION","GOBP_DEVELOPMENTAL_MATURATION","3/23","294/19413",0.00486486524355248,0.00486486524355248,0.0940587326432534,"6366/4313/6911",3
"GOBP_VESICLE_ORGANIZATION","GOBP_VESICLE_ORGANIZATION","GOBP_VESICLE_ORGANIZATION","3/23","306/19413",0.00543693469962062,0.00543693469962062,0.0940587326432534,"1201/112476/6810",3
"GOCC_GLUTAMATERGIC_SYNAPSE","GOCC_GLUTAMATERGIC_SYNAPSE","GOCC_GLUTAMATERGIC_SYNAPSE","3/23","317/19413",0.00599566768024658,0.00599566768024658,0.0940587326432534,"145581/112476/6810",3
"GOBP_EPITHELIAL_TUBE_MORPHOGENESIS","GOBP_EPITHELIAL_TUBE_MORPHOGENESIS","GOBP_EPITHELIAL_TUBE_MORPHOGENESIS","3/23","328/19413",0.00658782223368036,0.00658782223368036,0.0940587326432534,"79191/6299/6911",3
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","3/23","334/19413",0.00692509217276622,0.00692509217276622,0.0940587326432534,"1201/4313/6810",3
"GOCC_NEURON_TO_NEURON_SYNAPSE","GOCC_NEURON_TO_NEURON_SYNAPSE","GOCC_NEURON_TO_NEURON_SYNAPSE","3/23","346/19413",0.00763025735036762,0.00763025735036762,0.0940587326432534,"145581/81831/112476",3
"HP_GLAUCOMA","HP_GLAUCOMA","HP_GLAUCOMA","3/23","351/19413",0.00793624420018084,0.00793624420018084,0.0940587326432534,"92949/1201/23586",3
"GOBP_UROGENITAL_SYSTEM_DEVELOPMENT","GOBP_UROGENITAL_SYSTEM_DEVELOPMENT","GOBP_UROGENITAL_SYSTEM_DEVELOPMENT","3/23","353/19413",0.008060658320306,0.008060658320306,0.0940587326432534,"79191/4313/6299",3
"HP_ABNORMAL_RIB_CAGE_MORPHOLOGY","HP_ABNORMAL_RIB_CAGE_MORPHOLOGY","HP_ABNORMAL_RIB_CAGE_MORPHOLOGY","3/23","354/19413",0.00812329943624808,0.00812329943624808,0.0940587326432534,"91754/6299/6911",3
"GOCC_SYNAPTIC_MEMBRANE","GOCC_SYNAPTIC_MEMBRANE","GOCC_SYNAPTIC_MEMBRANE","3/23","372/19413",0.00930070392182063,0.00930070392182063,0.0940587326432534,"145581/112476/6810",3
"HP_ABNORMAL_AORTIC_MORPHOLOGY","HP_ABNORMAL_AORTIC_MORPHOLOGY","HP_ABNORMAL_AORTIC_MORPHOLOGY","3/23","384/19413",0.0101386908688338,0.0101386908688338,0.0940587326432534,"4313/91754/55901",3
"GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","3/23","387/19413",0.0103548893947362,0.0103548893947362,0.0940587326432534,"1201/83548/6810",3
"HP_ABNORMALITY_OF_THE_CERVICAL_SPINE","HP_ABNORMALITY_OF_THE_CERVICAL_SPINE","HP_ABNORMALITY_OF_THE_CERVICAL_SPINE","3/23","400/19413",0.0113229809032118,0.0113229809032118,0.0940587326432534,"4313/91754/6911",3
"HP_LIMITATION_OF_JOINT_MOBILITY","HP_LIMITATION_OF_JOINT_MOBILITY","HP_LIMITATION_OF_JOINT_MOBILITY","3/23","401/19413",0.0113995614045482,0.0113995614045482,0.0940587326432534,"4313/91754/112476",3
"GOCC_TRANSPORT_VESICLE","GOCC_TRANSPORT_VESICLE","GOCC_TRANSPORT_VESICLE","3/23","403/19413",0.0115536313330916,0.0115536313330916,0.0940587326432534,"1201/112476/6810",3
"HP_THICKENED_SKIN","HP_THICKENED_SKIN","HP_THICKENED_SKIN","3/23","419/19413",0.0128300229134518,0.0128300229134518,0.0940587326432534,"23586/4313/91754",3
"GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY","3/23","421/19413",0.0129950765132952,0.0129950765132952,0.0940587326432534,"79191/145581/55901",3
"HP_ABNORMALITY_IRIS_MORPHOLOGY","HP_ABNORMALITY_IRIS_MORPHOLOGY","HP_ABNORMALITY_IRIS_MORPHOLOGY","3/23","425/19413",0.0133288713097038,0.0133288713097038,0.0940587326432534,"92949/4313/6299",3
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","3/23","429/19413",0.0136675930792328,0.0136675930792328,0.0940587326432534,"1201/112476/6810",3
"HP_ABNORMAL_VENTRICULAR_SEPTUM_MORPHOLOGY","HP_ABNORMAL_VENTRICULAR_SEPTUM_MORPHOLOGY","HP_ABNORMAL_VENTRICULAR_SEPTUM_MORPHOLOGY","3/23","450/19413",0.0155271649570878,0.0155271649570878,0.0940587326432534,"4313/91754/6299",3
"HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY","HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY","HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY","3/23","482/19413",0.0186258121377017,0.0186258121377017,0.0940587326432534,"4313/91754/6299",3
"HP_ABNORMALITY_OF_THE_ABDOMINAL_WALL","HP_ABNORMALITY_OF_THE_ABDOMINAL_WALL","HP_ABNORMALITY_OF_THE_ABDOMINAL_WALL","3/23","484/19413",0.0188301819685124,0.0188301819685124,0.0940587326432534,"4313/91754/6299",3
"GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","3/23","487/19413",0.0191391075136792,0.0191391075136792,0.0940587326432534,"6366/1201/4313",3
"HP_WEAKNESS_DUE_TO_UPPER_MOTOR_NEURON_DYSFUNCTION","HP_WEAKNESS_DUE_TO_UPPER_MOTOR_NEURON_DYSFUNCTION","HP_WEAKNESS_DUE_TO_UPPER_MOTOR_NEURON_DYSFUNCTION","3/23","491/19413",0.0195554373914486,0.0195554373914486,0.0940587326432534,"112476/10166/55901",3
