"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE14308_TH1_VS_NATURAL_TREG_DN","GSE14308_TH1_VS_NATURAL_TREG_DN","GSE14308_TH1_VS_NATURAL_TREG_DN","4/13","199/21372",4.88290717830773e-06,4.88290717830773e-06,0.00307366157118739,"6911/83548/11273/23357",4
"GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN","GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN","GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN","3/13","200/21372",0.000215459552426486,0.000215459552426486,0.0339065295660628,"6911/11273/6810",3
"GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","3/13","200/21372",0.000215459552426486,0.000215459552426486,0.0339065295660628,"161145/6810/55213",3
"GSE37301_LYMPHOID_PRIMED_MPP_VS_COMMON_LYMPHOID_PROGENITOR_UP","GSE37301_LYMPHOID_PRIMED_MPP_VS_COMMON_LYMPHOID_PROGENITOR_UP","GSE37301_LYMPHOID_PRIMED_MPP_VS_COMMON_LYMPHOID_PROGENITOR_UP","3/13","200/21372",0.000215459552426486,0.000215459552426486,0.0339065295660628,"6911/10166/55213",3
"GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_UP","GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_UP","GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_UP","2/13","147/21372",0.00348733832554214,0.00348733832554214,0.0713851504765462,"6911/4150",2
"GSE25677_MPL_VS_MPL_AND_R848_STIM_BCELL_UP","GSE25677_MPL_VS_MPL_AND_R848_STIM_BCELL_UP","GSE25677_MPL_VS_MPL_AND_R848_STIM_BCELL_UP","2/13","160/21372",0.00411533978010398,0.00411533978010398,0.0713851504765462,"161145/4150",2
"GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_DN","GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_DN","GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_DN","2/13","166/21372",0.004421681781981,0.004421681781981,0.0713851504765462,"83548/6810",2
"GSE37563_WT_VS_CTLA4_KO_CD4_TCELL_D4_POST_IMMUNIZATION_UP","GSE37563_WT_VS_CTLA4_KO_CD4_TCELL_D4_POST_IMMUNIZATION_UP","GSE37563_WT_VS_CTLA4_KO_CD4_TCELL_D4_POST_IMMUNIZATION_UP","2/13","166/21372",0.004421681781981,0.004421681781981,0.0713851504765462,"91754/55213",2
"GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP","GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP","GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP","2/13","190/21372",0.00574961531799703,0.00574961531799703,0.0713851504765462,"161145/6810",2
"GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN","GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN","GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN","2/13","195/21372",0.00604666131519359,0.00604666131519359,0.0713851504765462,"6810/10166",2
