"","Gene","gene_id","gene_type","logFC.x","P.Value.x","adj.P.Val.x","chr","Name","Relation_to_Island","Gene_Group","logFC.y","P.Value.y","adj.P.Val.y","Gene_expression","DNA_Methylation"
"1","ABO","ENSG00000175164.15","protein_coding",1.90282634919911,0.00273542202805542,0.151165425855282,"chr9","cg22535403","Island","Body",-1.2950936685292,0.00884797233854152,0.22306109560151,"Up","Hypo"
"2","ABO","ENSG00000175164.15","protein_coding",1.90282634919911,0.00273542202805542,0.151165425855282,"chr9","cg00017475","Island","Body",-0.802283430493814,0.0334165429776351,0.417736273514264,"Up","Hypo"
"3","ACAN","ENSG00000157766.19","protein_coding",-1.99082036473375,0.0108736754663223,0.286894092434581,"chr15","cg03648457","S_Shelf","5'UTR",-1.59267569487365,0.0301153858831151,0.398267466943181,"Down","Hypo"
"4","ACAN","ENSG00000157766.19","protein_coding",-1.99082036473375,0.0108736754663223,0.286894092434581,"chr15","cg14914908","N_Shore","TSS1500",-1.2638364710448,0.0327214344344746,0.413517786210932,"Down","Hypo"
"5","ACAN","ENSG00000157766.19","protein_coding",-1.99082036473375,0.0108736754663223,0.286894092434581,"chr15","cg20510724","Island","1stExon",-1.50987393561755,0.0488142053342668,0.487199874077332,"Down","Hypo"
"6","ACCS","ENSG00000110455.14","protein_coding",0.685108448881605,0.0289987421060693,0.435862668161732,"chr11","cg09920268","OpenSea","3'UTR",-2.08620339811974,1.25685032528546e-05,0.00442119765813547,"Up","Hypo"
"7","ACRBP","ENSG00000111644.8","protein_coding",0.911193993412175,0.00614672066693055,0.230673827761456,"chr12","cg24392132","N_Shelf","Body",-0.908402804400333,0.0465408149309393,0.478382370122046,"Up","Hypo"
"8","ACTR1B","ENSG00000115073.8","protein_coding",0.50286453136462,0.0107092889129317,0.28501066823347,"chr2","cg06826975","N_Shelf","Body",-0.67052566195442,0.0238008723345122,0.358899246018871,"Up","Hypo"
"9","ACTR1B","ENSG00000115073.8","protein_coding",0.50286453136462,0.0107092889129317,0.28501066823347,"chr2","cg07414544","OpenSea","Body",-0.579734718776215,0.00399493849825426,0.14712962914955,"Up","Hypo"
"10","ACTR1B","ENSG00000115073.8","protein_coding",0.50286453136462,0.0107092889129317,0.28501066823347,"chr2","cg11826338","OpenSea","Body",-0.306581991550025,0.0291274204799227,0.392512474015148,"Up","Hypo"
