"GeneSymbol","chr","Aberration","q-value","AberrantRegion","GeneRegion"
"DDX39BP1",6,"Amp",0.0871875077348612,"6:29881490-1","6:29874320-29874686"
"MCCD1P1",6,"Amp",0.0871875077348612,"6:29881490-1","6:29875560-29876422"
"SLC1A1",9,"Amp",0.188822488192538,"9:66189025-1","9:4490444-4587469"
"SPATA6L",9,"Amp",0.188822488192538,"9:66189025-1","9:4553386-4666674"
"RP11-6J24.3",9,"Amp",0.188822488192538,"9:66189025-1","9:4633027-4633756"
"PPAPDC2",9,"Amp",0.188822488192538,"9:66189025-1","9:4662298-4665256"
"RP11-6J24.6",9,"Amp",0.188822488192538,"9:66189025-1","9:4676600-4679502"
"CDC37L1",9,"Amp",0.188822488192538,"9:66189025-1","9:4679559-4708398"
"AK3",9,"Amp",0.188822488192538,"9:66189025-1","9:4711155-4742043"
"RP11-307I14.4",9,"Amp",0.188822488192538,"9:66189025-1","9:4768617-4769895"
"RP11-307I14.2",9,"Amp",0.188822488192538,"9:66189025-1","9:4781475-4782078"
"RCL1",9,"Amp",0.188822488192538,"9:66189025-1","9:4792869-4885917"
"RP11-307I14.3",9,"Amp",0.188822488192538,"9:66189025-1","9:4803788-4804972"
"MIR101-2",9,"Amp",0.188822488192538,"9:66189025-1","9:4850291-4850381"
"RP11-125K10.5",9,"Amp",0.188822488192538,"9:66189025-1","9:4850299-4850373"
"AL158147.2",9,"Amp",0.188822488192538,"9:66189025-1","9:4859120-4859260"
"HNRNPA1P41",9,"Amp",0.188822488192538,"9:66189025-1","9:4944670-4945902"
"AL158147.1",9,"Amp",0.188822488192538,"9:66189025-1","9:4968097-4968185"
"JAK2",9,"Amp",0.188822488192538,"9:66189025-1","9:4985033-5128183"
"RP11-39K24.2",9,"Amp",0.188822488192538,"9:66189025-1","9:5040945-5041940"
"AL161450.1",9,"Amp",0.188822488192538,"9:66189025-1","9:5077163-5084580"
"RP11-39K24.9",9,"Amp",0.188822488192538,"9:66189025-1","9:5084999-5086112"
"MTND6P5",9,"Amp",0.188822488192538,"9:66189025-1","9:5091093-5091604"
"MTND1P11",9,"Amp",0.188822488192538,"9:66189025-1","9:5094139-5095014"
"RP11-39K24.4",9,"Amp",0.188822488192538,"9:66189025-1","9:5096666-5098193"
"RP11-39K24.14",9,"Amp",0.188822488192538,"9:66189025-1","9:5098341-5099325"
"RP11-39K24.12",9,"Amp",0.188822488192538,"9:66189025-1","9:5099560-5100229"
"RP11-39K24.13",9,"Amp",0.188822488192538,"9:66189025-1","9:5100236-5101009"
"MTND4P14",9,"Amp",0.188822488192538,"9:66189025-1","9:5107937-5109290"
"MTND5P14",9,"Amp",0.188822488192538,"9:66189025-1","9:5109496-5110762"
"RP11-39K24.7",9,"Amp",0.188822488192538,"9:66189025-1","9:5110913-5112849"
"IGHEP2",9,"Amp",0.188822488192538,"9:66189025-1","9:5113549-5114804"
"INSL6",9,"Amp",0.188822488192538,"9:66189025-1","9:5131979-5185668"
"RP11-140C18.2",9,"Amp",0.188822488192538,"9:66189025-1","9:5193339-5193558"
"INSL4",9,"Amp",0.188822488192538,"9:66189025-1","9:5231419-5235304"
"RLN2",9,"Amp",0.188822488192538,"9:66189025-1","9:5299868-5304969"
"HMGN2P31",9,"Amp",0.188822488192538,"9:66189025-1","9:5311444-5311716"
"RLN1",9,"Amp",0.188822488192538,"9:66189025-1","9:5334969-5339873"
"RP11-12D24.10",9,"Amp",0.188822488192538,"9:66189025-1","9:5351796-5352410"
"RP11-12D24.6",9,"Amp",0.188822488192538,"9:66189025-1","9:5356312-5356525"
"PLGRKT",9,"Amp",0.188822488192538,"9:66189025-1","9:5357973-5437878"
"RP11-12D24.7",9,"Amp",0.188822488192538,"9:66189025-1","9:5418373-5418976"
"CD274",9,"Amp",0.188822488192538,"9:66189025-1","9:5450503-5470566"
"PDCD1LG2",9,"Amp",0.188822488192538,"9:66189025-1","9:5510545-5571282"
"RP11-574F11.3",9,"Amp",0.188822488192538,"9:66189025-1","9:5584490-5588994"
"KIAA1432",9,"Amp",0.188822488192538,"9:66189025-1","9:5629025-5776557"
"RP11-207C16.4",9,"Amp",0.188822488192538,"9:66189025-1","9:5719021-5720244"
"ERMP1",9,"Amp",0.188822488192538,"9:66189025-1","9:5765076-5833117"
"AK4P4",9,"Amp",0.188822488192538,"9:66189025-1","9:5855781-5856426"
"KIAA2026",9,"Amp",0.188822488192538,"9:66189025-1","9:5881596-6007901"
"snoU13",9,"Amp",0.188822488192538,"9:66189025-1","9:5890150-5890256"
"MLANA",9,"Amp",0.188822488192538,"9:66189025-1","9:5890802-5910606"
"MIR4665",9,"Amp",0.188822488192538,"9:66189025-1","9:6007826-6007904"
"RANBP6",9,"Amp",0.188822488192538,"9:66189025-1","9:6011043-6015618"
"RP11-218I7.2",9,"Amp",0.188822488192538,"9:66189025-1","9:6047360-6066714"
"RP11-575C20.1",9,"Amp",0.188822488192538,"9:66189025-1","9:6195934-6197248"
"IL33",9,"Amp",0.188822488192538,"9:66189025-1","9:6215805-6257983"
"RP11-279E1.1",9,"Amp",0.188822488192538,"9:66189025-1","9:6276640-6276974"
"RP11-307L3.2",9,"Amp",0.188822488192538,"9:66189025-1","9:6278667-6279153"
"TPD52L3",9,"Amp",0.188822488192538,"9:66189025-1","9:6328349-6331900"
"UHRF2",9,"Amp",0.188822488192538,"9:66189025-1","9:6413151-6507054"
"RP11-307L3.4",9,"Amp",0.188822488192538,"9:66189025-1","9:6415145-6449558"
"C9orf38",9,"Amp",0.188822488192538,"9:66189025-1","9:6467618-6470375"
"GLDC",9,"Amp",0.188822488192538,"9:66189025-1","9:6532464-6645650"
"RN7SL25P",9,"Amp",0.188822488192538,"9:66189025-1","9:6542094-6542350"
"snoU13",9,"Amp",0.188822488192538,"9:66189025-1","9:6566332-6566425"
"RP11-472F14.4",9,"Amp",0.188822488192538,"9:66189025-1","9:6568844-6569360"
"RP11-106A1.2",9,"Amp",0.188822488192538,"9:66189025-1","9:6639139-6639604"
"RP11-390F4.6",9,"Amp",0.188822488192538,"9:66189025-1","9:6645956-6670635"
"RN7SL123P",9,"Amp",0.188822488192538,"9:66189025-1","9:6661651-6661936"
"RP11-106A1.3",9,"Amp",0.188822488192538,"9:66189025-1","9:6662424-6663792"
"RNF2P1",9,"Amp",0.188822488192538,"9:66189025-1","9:6668999-6670008"
"RP11-390F4.2",9,"Amp",0.188822488192538,"9:66189025-1","9:6675284-6675614"
"RP11-390F4.10",9,"Amp",0.188822488192538,"9:66189025-1","9:6704471-6707780"
"RP11-390F4.3",9,"Amp",0.188822488192538,"9:66189025-1","9:6716548-6727438"
"KDM4C",9,"Amp",0.188822488192538,"9:66189025-1","9:6720863-7175648"
"RP11-390F4.9",9,"Amp",0.188822488192538,"9:66189025-1","9:6734598-6735076"
"SNRPEP2",9,"Amp",0.188822488192538,"9:66189025-1","9:6748703-6748981"
"RP11-390F4.8",9,"Amp",0.188822488192538,"9:66189025-1","9:6834456-6835577"
"RP11-403H13.1",9,"Amp",0.188822488192538,"9:66189025-1","9:6902670-6978859"
"RPL4P5",9,"Amp",0.188822488192538,"9:66189025-1","9:7477045-7478320"
"RP11-366I21.1",9,"Amp",0.188822488192538,"9:66189025-1","9:7597823-7598377"
"RP11-77E14.2",9,"Amp",0.188822488192538,"9:66189025-1","9:7786105-7786688"
"TMEM261",9,"Amp",0.188822488192538,"9:66189025-1","9:7796490-7888380"
"RP11-29B9.1",9,"Amp",0.188822488192538,"9:66189025-1","9:7930827-7935137"
"RP11-29B9.2",9,"Amp",0.188822488192538,"9:66189025-1","9:7960413-7961080"
"PTPRD",9,"Amp",0.188822488192538,"9:66189025-1","9:8314246-10612723"
"RP11-134K1.3",9,"Amp",0.188822488192538,"9:66189025-1","9:8700595-8701552"
"RP11-134K1.2",9,"Amp",0.188822488192538,"9:66189025-1","9:8713311-8713841"
"RNU7-185P",9,"Amp",0.188822488192538,"9:66189025-1","9:8797135-8797194"
"RP11-75C9.1",9,"Amp",0.188822488192538,"9:66189025-1","9:8858130-8862255"
"SNORD27",9,"Amp",0.188822488192538,"9:66189025-1","9:8888136-8888207"
"RP11-75C9.2",9,"Amp",0.188822488192538,"9:66189025-1","9:8936079-8963077"
"RPS26P3",9,"Amp",0.188822488192538,"9:66189025-1","9:9090876-9091311"
"AL353733.1",9,"Amp",0.188822488192538,"9:66189025-1","9:9425461-9425558"
"RN7SL5P",9,"Amp",0.188822488192538,"9:66189025-1","9:9442060-9442347"
"RP11-527D15.1",9,"Amp",0.188822488192538,"9:66189025-1","9:9799423-9803784"
"RP11-87N24.1",9,"Amp",0.188822488192538,"9:66189025-1","9:10532145-10532411"
"RP11-87N24.2",9,"Amp",0.188822488192538,"9:66189025-1","9:10613202-10620420"
"RP11-87N24.3",9,"Amp",0.188822488192538,"9:66189025-1","9:10631750-10632203"
"RP11-421B23.2",9,"Amp",0.188822488192538,"9:66189025-1","9:10777357-10777525"
"IMP3P1",9,"Amp",0.188822488192538,"9:66189025-1","9:10829752-10830308"
"RP11-109M17.2",9,"Amp",0.188822488192538,"9:66189025-1","9:10948372-10948481"
"RP11-109M17.1",9,"Amp",0.188822488192538,"9:66189025-1","9:11011748-11013096"
"RP11-23D5.1",9,"Amp",0.188822488192538,"9:66189025-1","9:11275314-11276314"
"RP11-74C3.1",9,"Amp",0.188822488192538,"9:66189025-1","9:12098660-12159147"
"RP11-71E22.1",9,"Amp",0.188822488192538,"9:66189025-1","9:12287320-12288238"
"RNU2-47P",9,"Amp",0.188822488192538,"9:66189025-1","9:12300266-12300451"
"TYRP1",9,"Amp",0.188822488192538,"9:66189025-1","9:12685439-12710290"
"RP11-3L8.3",9,"Amp",0.188822488192538,"9:66189025-1","9:12700100-12814344"
"RN7SL849P",9,"Amp",0.188822488192538,"9:66189025-1","9:12764762-12765054"
"LURAP1L",9,"Amp",0.188822488192538,"9:66189025-1","9:12775020-12822130"
"Y_RNA",9,"Amp",0.188822488192538,"9:66189025-1","9:12885320-12885416"
